date,price
2019-01-01,21.959
2019-01-02,21.872
2019-01-03,22.036
2019-01-04,22.164
2019-01-05,22.482
2019-01-06,22.482
2019-01-07,22.518
2019-01-08,21.68
2019-01-09,22.275
2019-01-10,22.374
2019-01-11,22.006
2019-01-12,22.257
2019-01-13,22.257
2019-01-14,22.352
2019-01-15,21.957
2019-01-16,22.273
2019-01-17,22.354
2019-01-18,22.979
2019-01-19,22.773
2019-01-20,22.773
2019-01-21,22.88
2019-01-22,21.959
2019-01-23,22.32
2019-01-24,22.691
2019-01-25,22.001
2019-01-26,21.135
2019-01-27,21.135
2019-01-28,21.354
2019-01-29,21.22
2019-01-30,21.253
2019-01-31,21.383
2019-02-01,20.7
2019-02-02,20.201
2019-02-03,20.201
2019-02-04,20.272
2019-02-05,19.942
2019-02-06,20.068
2019-02-07,19.939
2019-02-08,19.89
2019-02-09,19.247
2019-02-10,19.247
2019-02-11,19.309
2019-02-12,18.823
2019-02-13,18.733
2019-02-14,18.684
2019-02-15,18.834
2019-02-16,18.797
2019-02-17,18.797
2019-02-18,18.841
2019-02-19,18.739
2019-02-20,18.856
2019-02-21,19.348
2019-02-22,18.91
2019-02-23,18.387
2019-02-24,18.387
2019-02-25,18.591
2019-02-26,18.219
2019-02-27,18.544
2019-02-28,18.859
2019-03-01,18.83
2019-03-02,18.489
2019-03-03,18.489
2019-03-04,18.409
2019-03-05,18.41
2019-03-06,18.516
2019-03-07,18.344
2019-03-08,18.185
2019-03-09,18.011
2019-03-10,18.011
2019-03-11,18.037
2019-03-12,17.872
2019-03-13,17.715
2019-03-14,17.126
2019-03-15,16.935
2019-03-16,16.513
2019-03-17,16.513
2019-03-18,16.533
2019-03-19,16.297
2019-03-20,16.626
2019-03-21,16.432
2019-03-22,16.238
2019-03-23,15.681
2019-03-24,15.681
2019-03-25,15.777
2019-03-26,15.856
2019-03-27,15.912
2019-03-28,16.33
2019-03-29,16.086
2019-03-30,15.32
2019-03-31,15.32
2019-04-01,15.667
2019-04-02,15.684
2019-04-03,15.409
2019-04-04,15.909
2019-04-05,16.749
2019-04-06,17.752
2019-04-07,17.752
2019-04-08,17.819
2019-04-09,18.401
2019-04-10,18.52
2019-04-11,18.368
2019-04-12,17.981
2019-04-13,18.098
2019-04-14,18.098
2019-04-15,18.137
2019-04-16,17.608
2019-04-17,17.207
2019-04-18,17.688
2019-04-19,17.522
2019-04-20,17.522
2019-04-21,17.522
2019-04-22,17.522
2019-04-23,17.572
2019-04-24,17.156
2019-04-25,16.831
2019-04-26,16.538
2019-04-27,16.437
2019-04-28,16.437
2019-04-29,16.815
2019-04-30,17.162
2019-05-01,16.697
2019-05-02,16.702
2019-05-03,16.943
2019-05-04,17.152
2019-05-05,17.152
2019-05-06,17.152
2019-05-07,17.153
2019-05-08,17.229
2019-05-09,17.186
2019-05-10,17.393
2019-05-11,17.021
2019-05-12,17.021
2019-05-13,17.022
2019-05-14,16.664
2019-05-15,16.517
2019-05-16,16.536
2019-05-17,16.282
2019-05-18,15.655
2019-05-19,15.655
2019-05-20,15.746
2019-05-21,15.679
2019-05-22,15.406
2019-05-23,15.464
2019-05-24,15.124
2019-05-25,14.63
2019-05-26,14.63
2019-05-27,14.63
2019-05-28,14.81
