year,hour,value
2019,0,1.41949452054795
2019,1,1.39048602739726
2019,2,1.39071109589041
2019,3,1.46885068493151
2019,4,1.64494945205479
2019,5,1.84272732876712
2019,6,1.97889109589041
2019,7,2.02546678082192
2019,8,2.04810465753425
2019,9,2.06409746575342
2019,10,2.03244082191781
2019,11,1.99226582191781
2019,12,1.96291561643836
2019,13,1.94677719178082
2019,14,1.94692445205479
2019,15,1.97731835616438
2019,16,2.01921842465753
2019,17,1.99433205479452
2019,18,1.91203232876712
2019,19,1.8052352739726
2019,20,1.71582130136986
2019,21,1.63090321917808
2019,22,1.53757773972603
2019,23,1.46151890410959
2020,0,1.3707612704918
2020,1,1.34117329234973
2020,2,1.33972923497268
2020,3,1.4138837431694
2020,4,1.58091092896175
2020,5,1.76080819672131
2020,6,1.89021953551913
2020,7,1.94982069672131
2020,8,1.98586598360656
2020,9,2.01815969945355
2020,10,1.99431523224044
2020,11,1.94732575136612
2020,12,1.90471297814208
2020,13,1.87585860655738
2020,14,1.86476639344262
2020,15,1.88850799180328
2020,16,1.9276737704918
2020,17,1.92014972677596
2020,18,1.85257069672131
2020,19,1.74411277322404
2020,20,1.6582731557377
2020,21,1.57673510928962
2020,22,1.48774132513661
2020,23,1.41221058743169
2021,0,1.45301164383562
2021,1,1.42942246575342
2021,2,1.43460876712329
2021,3,1.5086045890411
2021,4,1.67276184931507
2021,5,1.84022383561644
2021,6,1.95714198630137
2021,7,2.00365705479452
2021,8,2.02831582191781
2021,9,2.05030280821918
2021,10,2.02399760273973
2021,11,1.98269116438356
2021,12,1.94384643835616
2021,13,1.91867917808219
2021,14,1.91035315068493
2021,15,1.93310356164384
2021,16,1.97037506849315
2021,17,1.96437109589041
2021,18,1.89349239726027
2021,19,1.79039479452055
2021,20,1.71299595890411
2021,21,1.63851623287671
2021,22,1.55700575342466
2021,23,1.48977869863014
2022,0,1.41576948529412
2022,1,1.39245183823529
2022,2,1.39979227941176
2022,3,1.47867693014706
2022,4,1.63985330882353
2022,5,1.795634375
2022,6,1.90015882352941
2022,7,1.93937196691176
2022,8,1.95993612132353
2022,9,1.97596231617647
2022,10,1.942365625
2022,11,1.90825974264706
2022,12,1.87955505514706
2022,13,1.86022582720588
2022,14,1.85626920955882
2022,15,1.87198998161765
2022,16,1.90281259191176
2022,17,1.90721112132353
2022,18,1.85145027675277
2022,19,1.75589557195572
2022,20,1.67916125461255
2022,21,1.59628016605166
2022,22,1.51338025830258
2022,23,1.45021014760148
