date,variable,rm7,day,year,date20
2019-01-01,base,97528.1285714286,1,2019,2020-01-01
2019-01-01,peak,49492.9428571429,1,2019,2020-01-01
2019-01-02,base,97762.8571428571,2,2019,2020-01-02
2019-01-02,peak,49352.9428571429,2,2019,2020-01-02
2019-01-03,base,96212.9714285714,3,2019,2020-01-03
2019-01-03,peak,48201.0857142857,3,2019,2020-01-03
2019-01-04,base,98509.0857142857,4,2019,2020-01-04
2019-01-04,peak,50083.2714285714,4,2019,2020-01-04
2019-01-05,base,98120.1142857143,5,2019,2020-01-05
2019-01-05,peak,49708.4428571429,5,2019,2020-01-05
2019-01-06,base,95345.4142857143,6,2019,2020-01-06
2019-01-06,peak,48565.1,6,2019,2020-01-06
2019-01-07,base,97079.7,7,2019,2020-01-07
2019-01-07,peak,49675.8714285714,7,2019,2020-01-07
2019-01-08,base,93944.7142857143,8,2019,2020-01-08
2019-01-08,peak,47524.3285714286,8,2019,2020-01-08
2019-01-09,base,95703.8285714286,9,2019,2020-01-09
2019-01-09,peak,48701.5428571429,9,2019,2020-01-09
2019-01-10,base,95862.3857142857,10,2019,2020-01-10
2019-01-10,peak,48826.7142857143,10,2019,2020-01-10
2019-01-11,base,95847.4857142857,11,2019,2020-01-11
2019-01-11,peak,48736.3571428571,11,2019,2020-01-11
2019-01-12,base,96630.5,12,2019,2020-01-12
2019-01-12,peak,49304.6428571429,12,2019,2020-01-12
2019-01-13,base,100138.128571429,13,2019,2020-01-13
2019-01-13,peak,51479.9428571429,13,2019,2020-01-13
2019-01-14,base,100201,14,2019,2020-01-14
2019-01-14,peak,51224.6285714286,14,2019,2020-01-14
2019-01-15,base,98351.8571428571,15,2019,2020-01-15
2019-01-15,peak,51046.1714285714,15,2019,2020-01-15
2019-01-16,base,97658.2857142857,16,2019,2020-01-16
2019-01-16,peak,51124.9,16,2019,2020-01-16
2019-01-17,base,101531.057142857,17,2019,2020-01-17
2019-01-17,peak,53008.9285714286,17,2019,2020-01-17
2019-01-18,base,99709.4285714286,18,2019,2020-01-18
2019-01-18,peak,50984.3714285714,18,2019,2020-01-18
2019-01-19,base,97598.2142857143,19,2019,2020-01-19
2019-01-19,peak,50147.2285714286,19,2019,2020-01-19
2019-01-20,base,93366.1857142857,20,2019,2020-01-20
2019-01-20,peak,47554.2714285714,20,2019,2020-01-20
2019-01-21,base,92098.4142857143,21,2019,2020-01-21
2019-01-21,peak,46489.7857142857,21,2019,2020-01-21
