date,source.group,value,day,year,date20
2018-12-01,Hydro,2.4379197,335,2018,2020-12-01
2018-12-01,Gas,1.5365257,335,2018,2020-12-01
2018-12-01,Wind,0.820079,335,2018,2020-12-01
2018-12-01,Waste,0.0744,335,2018,2020-12-01
2018-12-01,Solar,0.014415,335,2018,2020-12-01
2018-12-01,Coal,0.2192437,335,2018,2020-12-01
2018-12-01,Oil,0,335,2018,2020-12-01
2018-12-01,others,0.24183208,335,2018,2020-12-01
2019-01-01,Hydro,2.7147834,1,2019,2020-01-01
2019-01-01,Gas,1.573819,1,2019,2020-01-01
2019-01-01,Wind,0.951588,1,2019,2020-01-01
2019-01-01,Waste,0.0744,1,2019,2020-01-01
2019-01-01,Solar,0.014634,1,2019,2020-01-01
2019-01-01,Coal,0.1761041,1,2019,2020-01-01
2019-01-01,Oil,0,1,2019,2020-01-01
2019-01-01,others,0.24466308,1,2019,2020-01-01
2019-02-01,Hydro,2.2480097,32,2019,2020-02-01
2019-02-01,Gas,1.2443979,32,2019,2020-02-01
2019-02-01,Wind,0.762263,32,2019,2020-02-01
2019-02-01,Waste,0.0672,32,2019,2020-02-01
2019-02-01,Solar,0.031717,32,2019,2020-02-01
2019-02-01,Coal,0.183729,32,2019,2020-02-01
2019-02-01,Oil,0,32,2019,2020-02-01
2019-02-01,others,0.22256304,32,2019,2020-02-01
2019-03-01,Hydro,3.3568742,60,2019,2020-03-01
2019-03-01,Gas,0.6657015,60,2019,2020-03-01
2019-03-01,Wind,0.777732,60,2019,2020-03-01
2019-03-01,Waste,0.0744,60,2019,2020-03-01
2019-03-01,Solar,0.047212,60,2019,2020-03-01
2019-03-01,Coal,0.1253983,60,2019,2020-03-01
2019-03-01,Oil,0,60,2019,2020-03-01
2019-03-01,others,0.24587908,60,2019,2020-03-01
2019-04-01,Hydro,3.4669475,91,2019,2020-04-01
2019-04-01,Gas,0.5275099,91,2019,2020-04-01
2019-04-01,Wind,0.859303,91,2019,2020-04-01
2019-04-01,Waste,0.072,91,2019,2020-04-01
2019-04-01,Solar,0.06684,91,2019,2020-04-01
2019-04-01,Coal,0.0973978,91,2019,2020-04-01
2019-04-01,Oil,0,91,2019,2020-04-01
2019-04-01,others,0.2268124,91,2019,2020-04-01
2019-05-01,Hydro,4.045546,121,2019,2020-05-01
2019-05-01,Gas,0.0786755,121,2019,2020-05-01
2019-05-01,Wind,0.863105,121,2019,2020-05-01
2019-05-01,Waste,0.0744,121,2019,2020-05-01
2019-05-01,Solar,0.071608,121,2019,2020-05-01
2019-05-01,Coal,0.0745759,121,2019,2020-05-01
2019-05-01,Oil,0,121,2019,2020-05-01
2019-05-01,others,0.21837508,121,2019,2020-05-01
2019-06-01,Hydro,4.4514702,152,2019,2020-06-01
2019-06-01,Gas,0.1799184,152,2019,2020-06-01
2019-06-01,Wind,0.435256,152,2019,2020-06-01
2019-06-01,Waste,0.072,152,2019,2020-06-01
2019-06-01,Solar,0.106429,152,2019,2020-06-01
2019-06-01,Coal,0.0761911,152,2019,2020-06-01
2019-06-01,Oil,0,152,2019,2020-06-01
2019-06-01,others,0.1877204,152,2019,2020-06-01
2019-07-01,Hydro,3.437576,182,2019,2020-07-01
2019-07-01,Gas,0.4915083,182,2019,2020-07-01
2019-07-01,Wind,0.365095,182,2019,2020-07-01
2019-07-01,Waste,0.0744,182,2019,2020-07-01
2019-07-01,Solar,0.095442,182,2019,2020-07-01
2019-07-01,Coal,0.1245308,182,2019,2020-07-01
2019-07-01,Oil,0,182,2019,2020-07-01
2019-07-01,others,0.19169508,182,2019,2020-07-01
2019-08-01,Hydro,3.1276672,213,2019,2020-08-01
2019-08-01,Gas,0.7041834,213,2019,2020-08-01
2019-08-01,Wind,0.33717,213,2019,2020-08-01
2019-08-01,Waste,0.0744,213,2019,2020-08-01
2019-08-01,Solar,0.082631,213,2019,2020-08-01
2019-08-01,Coal,0.0076319,213,2019,2020-08-01
2019-08-01,Oil,0,213,2019,2020-08-01
2019-08-01,others,0.17041508,213,2019,2020-08-01
2019-09-01,Hydro,2.599398,244,2019,2020-09-01
2019-09-01,Gas,0.9275528,244,2019,2020-09-01
2019-09-01,Wind,0.437682,244,2019,2020-09-01
2019-09-01,Waste,0.072,244,2019,2020-09-01
2019-09-01,Solar,0.068334,244,2019,2020-09-01
2019-09-01,Coal,0.026454,244,2019,2020-09-01
2019-09-01,Oil,0,244,2019,2020-09-01
2019-09-01,others,0.1784944,244,2019,2020-09-01
2019-10-01,Hydro,2.2789041,274,2019,2020-10-01
2019-10-01,Gas,1.2349112,274,2019,2020-10-01
2019-10-01,Wind,0.531934,274,2019,2020-10-01
2019-10-01,Waste,0.0744,274,2019,2020-10-01
2019-10-01,Solar,0.046848,274,2019,2020-10-01
2019-10-01,Coal,0.133638,274,2019,2020-10-01
2019-10-01,Oil,0,274,2019,2020-10-01
2019-10-01,others,0.16761608,274,2019,2020-10-01
2019-11-01,Hydro,2.7291231,305,2019,2020-11-01
2019-11-01,Gas,1.2690546,305,2019,2020-11-01
2019-11-01,Wind,0.776479,305,2019,2020-11-01
2019-11-01,Waste,0.072,305,2019,2020-11-01
2019-11-01,Solar,0.023806,305,2019,2020-11-01
2019-11-01,Coal,0.1178767,305,2019,2020-11-01
2019-11-01,Oil,0,305,2019,2020-11-01
2019-11-01,others,0.1569124,305,2019,2020-11-01
2019-12-01,Hydro,2.3710441,335,2019,2020-12-01
2019-12-01,Gas,1.2681427,335,2019,2020-12-01
2019-12-01,Wind,0.873152,335,2019,2020-12-01
2019-12-01,Waste,0.0744,335,2019,2020-12-01
2019-12-01,Solar,0.014514,335,2019,2020-12-01
2019-12-01,Coal,0.1070204,335,2019,2020-12-01
2019-12-01,Oil,0,335,2019,2020-12-01
2019-12-01,others,0.16659208,335,2019,2020-12-01
2020-01-01,Hydro,2.2930738,1,2020,2020-01-01
2020-01-01,Gas,1.8235446,1,2020,2020-01-01
2020-01-01,Wind,0.426439,1,2020,2020-01-01
2020-01-01,Waste,0.0744,1,2020,2020-01-01
2020-01-01,Solar,0.019033,1,2020,2020-01-01
2020-01-01,Coal,0.1180591,1,2020,2020-01-01
2020-01-01,Oil,0,1,2020,2020-01-01
2020-01-01,others,0.17071608,1,2020,2020-01-01
2020-02-01,Hydro,2.6248549,32,2020,2020-02-01
2020-02-01,Gas,0.9948055,32,2020,2020-02-01
2020-02-01,Wind,1.154772,32,2020,2020-02-01
2020-02-01,Waste,0.0696,32,2020,2020-02-01
2020-02-01,Solar,0.033513,32,2020,2020-02-01
2020-02-01,Coal,0.1052718,32,2020,2020-02-01
2020-02-01,Oil,0,32,2020,2020-02-01
2020-02-01,others,0.16128572,32,2020,2020-02-01
2020-03-01,Hydro,2.9541782,61,2020,2020-03-01
2020-03-01,Gas,0.9453341,61,2020,2020-03-01
2020-03-01,Wind,0.805863,61,2020,2020-03-01
2020-03-01,Waste,0.0744,61,2020,2020-03-01
2020-03-01,Solar,0.060004,61,2020,2020-03-01
2020-03-01,Coal,0.1081656,61,2020,2020-03-01
2020-03-01,Oil,0,61,2020,2020-03-01
2020-03-01,others,0.17428008,61,2020,2020-03-01
2020-04-01,Hydro,2.9734766,92,2020,2020-04-01
2020-04-01,Gas,0.411256,92,2020,2020-04-01
2020-04-01,Wind,0.431245,92,2020,2020-04-01
2020-04-01,Waste,0.072,92,2020,2020-04-01
2020-04-01,Solar,0.101515,92,2020,2020-04-01
2020-04-01,Coal,0,92,2020,2020-04-01
2020-04-01,Oil,0,92,2020,2020-04-01
2020-04-01,others,0.1656584,92,2020,2020-04-01
2020-05-01,Hydro,3.6802982,122,2020,2020-05-01
2020-05-01,Gas,0.0846843,122,2020,2020-05-01
2020-05-01,Wind,0.719398,122,2020,2020-05-01
2020-05-01,Waste,0.0744,122,2020,2020-05-01
2020-05-01,Solar,0.102552,122,2020,2020-05-01
2020-05-01,Coal,0,122,2020,2020-05-01
2020-05-01,Oil,0,122,2020,2020-05-01
2020-05-01,others,0.16647208,122,2020,2020-05-01
2020-06-01,Hydro,4.136384,153,2020,2020-06-01
2020-06-01,Gas,0.0935086,153,2020,2020-06-01
