date,variable,last,day,year,date20
2019-01-01,euroSuper95,1.212,1,2019,2020-01-01
2019-01-01,gasOil,1.219,1,2019,2020-01-01
2019-01-02,euroSuper95,1.212,2,2019,2020-01-02
2019-01-02,gasOil,1.219,2,2019,2020-01-02
2019-01-03,euroSuper95,1.212,3,2019,2020-01-03
2019-01-03,gasOil,1.219,3,2019,2020-01-03
2019-01-04,euroSuper95,1.212,4,2019,2020-01-04
2019-01-04,gasOil,1.219,4,2019,2020-01-04
2019-01-05,euroSuper95,1.212,5,2019,2020-01-05
2019-01-05,gasOil,1.219,5,2019,2020-01-05
2019-01-06,euroSuper95,1.212,6,2019,2020-01-06
2019-01-06,gasOil,1.219,6,2019,2020-01-06
2019-01-07,euroSuper95,1.172,7,2019,2020-01-07
2019-01-07,gasOil,1.175,7,2019,2020-01-07
2019-01-08,euroSuper95,1.172,8,2019,2020-01-08
2019-01-08,gasOil,1.175,8,2019,2020-01-08
2019-01-09,euroSuper95,1.172,9,2019,2020-01-09
2019-01-09,gasOil,1.175,9,2019,2020-01-09
2019-01-10,euroSuper95,1.172,10,2019,2020-01-10
2019-01-10,gasOil,1.175,10,2019,2020-01-10
2019-01-11,euroSuper95,1.172,11,2019,2020-01-11
2019-01-11,gasOil,1.175,11,2019,2020-01-11
2019-01-12,euroSuper95,1.172,12,2019,2020-01-12
2019-01-12,gasOil,1.175,12,2019,2020-01-12
2019-01-13,euroSuper95,1.172,13,2019,2020-01-13
2019-01-13,gasOil,1.175,13,2019,2020-01-13
2019-01-14,euroSuper95,1.169,14,2019,2020-01-14
2019-01-14,gasOil,1.177,14,2019,2020-01-14
2019-01-15,euroSuper95,1.169,15,2019,2020-01-15
2019-01-15,gasOil,1.177,15,2019,2020-01-15
2019-01-16,euroSuper95,1.169,16,2019,2020-01-16
2019-01-16,gasOil,1.177,16,2019,2020-01-16
2019-01-17,euroSuper95,1.169,17,2019,2020-01-17
2019-01-17,gasOil,1.177,17,2019,2020-01-17
2019-01-18,euroSuper95,1.169,18,2019,2020-01-18
2019-01-18,gasOil,1.177,18,2019,2020-01-18
2019-01-19,euroSuper95,1.169,19,2019,2020-01-19
2019-01-19,gasOil,1.177,19,2019,2020-01-19
2019-01-20,euroSuper95,1.169,20,2019,2020-01-20
2019-01-20,gasOil,1.177,20,2019,2020-01-20
2019-01-21,euroSuper95,1.168,21,2019,2020-01-21
2019-01-21,gasOil,1.212,21,2019,2020-01-21
2019-01-22,euroSuper95,1.168,22,2019,2020-01-22
2019-01-22,gasOil,1.212,22,2019,2020-01-22
2019-01-23,euroSuper95,1.168,23,2019,2020-01-23
2019-01-23,gasOil,1.212,23,2019,2020-01-23
2019-01-24,euroSuper95,1.168,24,2019,2020-01-24
2019-01-24,gasOil,1.212,24,2019,2020-01-24
2019-01-25,euroSuper95,1.168,25,2019,2020-01-25
2019-01-25,gasOil,1.212,25,2019,2020-01-25
2019-01-26,euroSuper95,1.168,26,2019,2020-01-26
2019-01-26,gasOil,1.212,26,2019,2020-01-26
2019-01-27,euroSuper95,1.168,27,2019,2020-01-27
2019-01-27,gasOil,1.212,27,2019,2020-01-27
