date,variable,value,year,date20
2019-01-01,value,17.2292670487297,2019,2020-01-01
2019-01-02,value,20.4408492736541,2019,2020-01-02
2019-01-03,value,23.5607502206023,2019,2020-01-03
2019-01-04,value,23.1701991073471,2019,2020-01-04
2019-01-05,value,20.2351586746939,2019,2020-01-05
2019-01-06,value,19.4943652139759,2019,2020-01-06
2019-01-07,value,20.8226684515927,2019,2020-01-07
2019-01-08,value,19.7689345546215,2019,2020-01-08
2019-01-09,value,20.5382519903743,2019,2020-01-09
2019-01-10,value,21.5439930811695,2019,2020-01-10
2019-01-11,value,23.2221134563937,2019,2020-01-11
2019-01-12,value,19.5943726000242,2019,2020-01-12
2019-01-13,value,17.8739697332591,2019,2020-01-13
2019-01-14,value,18.1486112982818,2019,2020-01-14
2019-01-15,value,19.8648743793168,2019,2020-01-15
2019-01-16,value,19.3786864260593,2019,2020-01-16
2019-01-17,value,18.2789077426041,2019,2020-01-17
2019-01-18,value,20.8400372918822,2019,2020-01-18
2019-01-19,value,25.0431158948691,2019,2020-01-19
2019-01-20,value,24.3861129539928,2019,2020-01-20
2019-01-21,value,24.5662188604357,2019,2020-01-21
2019-01-22,value,26.0232215673755,2019,2020-01-22
2019-01-23,value,25.8959856149984,2019,2020-01-23
2019-01-24,value,24.5256493519561,2019,2020-01-24
2019-01-25,value,24.870125827101,2019,2020-01-25
2019-01-26,value,22.1390541015273,2019,2020-01-26
2019-01-27,value,20.6089127026303,2019,2020-01-27
2019-01-28,value,20.1864884257056,2019,2020-01-28
2019-01-29,value,21.4586909233437,2019,2020-01-29
2019-01-30,value,22.8470839508957,2019,2020-01-30
2019-01-31,value,22.964951073675,2019,2020-01-31
2019-02-01,value,19.4582133279337,2019,2020-02-01
2019-02-02,value,15.1402471296193,2019,2020-02-02
2019-02-03,value,18.0624184386601,2019,2020-02-03
2019-02-04,value,21.2193531594525,2019,2020-02-04
2019-02-05,value,23.2058978023655,2019,2020-02-05
2019-02-06,value,23.0544833859217,2019,2020-02-06
2019-02-07,value,21.8759670269628,2019,2020-02-07
2019-02-08,value,18.8758993872207,2019,2020-02-08
2019-02-09,value,18.2239476208758,2019,2020-02-09
2019-02-10,value,17.253605124147,2019,2020-02-10
2019-02-11,value,17.6635419873728,2019,2020-02-11
2019-02-12,value,19.3592662959325,2019,2020-02-12
2019-02-13,value,18.7646807983288,2019,2020-02-13
2019-02-14,value,17.3852500090825,2019,2020-02-14
2019-02-15,value,17.5678191039731,2019,2020-02-15
2019-02-16,value,17.5381458263718,2019,2020-02-16
2019-02-17,value,17.2920241935511,2019,2020-02-17
