year,date20,value
2019,2020-01-01,0.690586047896509
2019,2020-01-02,0.610057650746306
2019,2020-01-03,0.399936003226506
2019,2020-01-04,0.0952809084327877
2019,2020-01-05,-0.0757439282901839
2019,2020-01-06,-0.198859502473166
2019,2020-01-07,-0.300592967641911
2019,2020-01-08,-0.289092159803606
2019,2020-01-09,-0.25428665103757
2019,2020-01-10,-0.168870277706565
2019,2020-01-11,-0.124719868518429
2019,2020-01-12,0.0530817810114288
2019,2020-01-13,0.281952810425942
2019,2020-01-14,0.424299043803034
2019,2020-01-15,0.472706775865821
2019,2020-01-16,0.551772420455968
2019,2020-01-17,0.653842877579966
2019,2020-01-18,0.617786316371875
2019,2020-01-19,0.235185685954621
2019,2020-01-20,-0.0992793634663068
2019,2020-01-21,-0.368636509994015
2019,2020-01-22,-0.597137551357828
2019,2020-01-23,-0.806591827074189
2019,2020-01-24,-1.00150813970155
2019,2020-01-25,-1.2432014745738
2019,2020-01-26,-1.33536817915147
2019,2020-01-27,-1.42057760414887
2019,2020-01-28,-1.50896056589906
2019,2020-01-29,-1.66001141856385
2019,2020-01-30,-1.74594837132248
2019,2020-01-31,-1.72466983036079
2019,2020-02-01,-1.59209890966746
2019,2020-02-02,-1.41013778305765
2019,2020-02-03,-1.35899682679637
2019,2020-02-04,-1.37316413779136
2019,2020-02-05,-1.49591282521079
2019,2020-02-06,-1.58577823219463
2019,2020-02-07,-1.59763444454439
2019,2020-02-08,-1.4424125135025
2019,2020-02-09,-1.3934687642472
2019,2020-02-10,-1.37131288535034
2019,2020-02-11,-1.35398898138931
2019,2020-02-12,-1.33593154983987
2019,2020-02-13,-1.31400277742092
2019,2020-02-14,-1.28208642979515
2019,2020-02-15,-1.16522149451268
2019,2020-02-16,-0.897186849209203
2019,2020-02-17,-0.643826536336283
2019,2020-02-18,-0.391326533399205
2019,2020-02-19,-0.039300260111589
2019,2020-02-20,0.326919527524557
2019,2020-02-21,0.680095543482931
2019,2020-02-22,1.00716580161723
2019,2020-02-23,1.03211567258753
2019,2020-02-24,1.04473558483117
2019,2020-02-25,1.23811367347012
2019,2020-02-26,1.5454891503847
2019,2020-02-27,1.87374842958661
2019,2020-02-28,2.29439296994529
2019,2020-03-01,2.52911896827328
2019,2020-03-02,2.50561450502916
2019,2020-03-03,2.67841036845299
2019,2020-03-04,2.99156406402291
2019,2020-03-05,3.30199451481278
2019,2020-03-06,3.63397645107898
2019,2020-03-07,3.99754197850224
2019,2020-03-08,4.2081697022223
2019,2020-03-09,4.39040045170209
2019,2020-03-10,4.5874280300637
2019,2020-03-11,4.61719602671039
2019,2020-03-12,4.67504405361593
2019,2020-03-13,4.74383105200257
2019,2020-03-14,4.78850224424031
